Title,includes_bats_in_title,includes_traits_in_title,to_keep,includes_trait_info,directly_available,fully_included_in_another_source,pub_type,Year,Source,Publisher,Type,DOI,ISSN,Volume,Issue,phase
Historical account and current knowledge of the southernmost Chiropterofauna in the world: the Magellanic/Fuegian bats,yes,no,no,,,,,2023,Studies on Neotropical Fauna and Environment,NA,NA,10.1080/01650521.2023.2274146,0165-0521,0,0,second_phase
Studying bats using a One Health lens: bridging the gap between bat virology and disease ecology,yes,no,yes,no,yes,,review,2024,Journal of Virology,NA,NA,10.1128/jvi.01453-24,NA,0,0,second_phase
A review of the diet of the common vampire bat (Desmodus rotundus) in the context of anthropogenic change,yes,no,yes,yes,yes,no,review,2023,Mammalian Biology,NA,NA,10.1007/s42991-023-00358-3,1618-1476,103,4,second_phase
Bat pollination in the Caatinga: A review of studies and peculiarities of the system in the new world's largest and most diverse seasonally dry tropical forest,yes,no,yes,yes,yes,no,review,2023,Flora,NA,NA,10.1016/j.flora.2023.152332,0367-2530,305,NA,second_phase
Body size information in large-scale acoustic bat databases,yes,no,yes,yes,yes,no,article,2018,PeerJ,NA,NA,10.7717/peerj.5370,2167-8359,6,NA,second_phase
Ecotoxicology of heavy metal contamination of Neotropical bats,yes,no,yes,yes,yes,no,review,2024,Environmental Monitoring and Assessment,NA,NA,10.1007/s10661-024-12553-x,1573-2959,196,4,second_phase
Organic contaminants in bats: Trends and new issues,yes,no,yes,yes,no,no,review,2014,Environment International,NA,NA,10.1016/j.envint.2013.10.009,0160-4120,63,NA,second_phase
"Inventory, Features, and Protection of Underground Roosts Used by Bats in Mexico",yes,no,yes,yes,no,no,review,2017,Acta Chiropterologica,NA,NA,10.3161/15081109ACC2017.19.2.019,"1508-1109, 1733-5329",19,2,second_phase
"Structure of the Interaction Networks Between Bats (Mammalia: Chiroptera) and Ectoparasite Flies (Diptera: Streblidae, Nycteribiidae) on a Latitudinal Gradient",yes,no,yes,yes,yes,no,review,2020,Acta Chiropterologica,NA,NA,10.3161/15081109ACC2020.22.1.018,"1508-1109, 1733-5329",22,1,second_phase
A systematic review on current approaches in bat virus discovered between 2018 and 2022,yes,no,yes,yes,no,no,review,2024,Journal of Virological Methods,NA,NA,10.1016/j.jviromet.2024.115005,0166-0934,329,NA,second_phase
Global systematic map of research on bats in agricultural systems,yes,no,yes,no,yes,,review,2023,Frontiers in Ecology and Evolution,NA,NA,10.3389/fevo.2023.1214176,2296-701X,11,NA,second_phase
Wildlife Use of Anthropogenic Structures: A Comprehensive Review of Bridge Use by Bats,yes,no,yes,yes,no,no,review,2023,Acta Chiropterologica,NA,NA,10.3161/15081109ACC2023.25.1.008,NA,25,1,second_phase
"Bat-associated microbes: Opportunities and perils, an overview",yes,no,yes,yes,yes,no,review,2023,Heliyon,NA,NA,10.1016/j.heliyon.2023.e22351,2405-8440,9,12,second_phase
Are we hunting bats to extinction? Worldwide patterns of hunting risk in bats are driven by species ecology and regional economicsy,yes,no,yes,yes,no,no,review,2023,Biological Conservation,NA,NA,10.1016/j.biocon.2023.109944,0006-3207,279,NA,second_phase
Infection of bats with Histoplasma species,yes,no,yes,yes,yes,no,review,2023,Medical Mycology,NA,NA,10.1093/mmy/myad080,1460-2709,61,8,second_phase
A systematic review of trace elements in the tissues of bats (Chiroptera),yes,no,yes,yes,yes,no,review,2024,Environmental Pollution,NA,NA,10.1016/j.envpol.2024.124349,0269-7491,356,NA,second_phase
Zoonotic bacterial pathogens in bats samples around the world: a scoping review,yes,no,yes,yes,yes,no,review,2024,Preventive Veterinary Medicine,NA,NA,10.1016/j.prevetmed.2024.106135,0167-5877,225,NA,second_phase
Roost Fidelity of Bats: A Review,yes,no,yes,yes,no,no,review,1995,Journal of Mammalogy,NA,NA,10.2307/1382357,0022-2372,76,2,second_phase
Antiviral Immune Responses of Bats: A Review,yes,no,yes,no,no,,review,2013,Zoonoses and Public Health,NA,NA,10.1111/j.1863-2378.2012.01528.x,1863-2378,60,1,second_phase
Why bats matters: A critical assessment of bat-mediated ecological processes in the Neotropics,yes,no,yes,yes,no,no,review,2020,European Journal of Ecology,NA,NA,10.17161/eurojecol.v6i1.13824,1339-8474,6,1,second_phase
Trait-based functional dietary analysis provides a better insight into the foraging ecology of bats,yes,yes,no,,,,,2019,Journal of Animal Ecology,NA,NA,10.1111/1365-2656.13055,1365-2656,88,10,second_phase
Exploring a Hidden Structure in New World Bats: The Pollex,yes,no,yes,yes,yes,no,article,2022,NA,NA,NA,10.5281/zenodo.13503351,NA,NA,NA,second_phase
Urbanisation generates multiple trait syndromes for terrestrial animal taxa worldwide,no,yes,yes,yes,yes,no,review,2023,Nature Communications,NA,NA,10.1038/s41467-023-39746-1,2041-1723,14,1,second_phase
Evolution of litter size in bats and its influence on longevity and roosting ecology,yes,no,yes,yes,yes,no,review,2021,Biological Journal of the Linnean Society,NA,NA,10.1093/biolinnean/blaa203,0024-4066,132,3,second_phase
Bats,yes,no,no,,,,,2010,Current Biology,NA,NA,10.1016/j.cub.2010.10.037,0960-9822,20,24,second_phase
A bibliometric analysis of research trends in bat echolocation studies between 1970 and 2021,yes,no,yes,no,no,,review,2022,Ecological Informatics,NA,NA,10.1016/j.ecoinf.2022.101654,1574-9541,69,NA,second_phase
A review of the global conservation status of bats,yes,no,yes,no,no,,review,2002,Oryx,NA,NA,10.1017/S0030605302000054,"1365-3008, 0030-6053",36,1,second_phase
Re-weighing the 5% tagging recommendation: assessing the potential impacts of tags on the behaviour and body condition of bats,yes,no,yes,yes,yes,no,review,2024,Mammal Review,NA,NA,10.1111/mam.12369,1365-2907,n/a,n/a,second_phase
Painting maps with bats: species distribution modelling in bat research and conservation,yes,no,yes,no,yes,,review,2016,"Hystrix, the Italian Journal of Mammalogy",NA,NA,10.4404/hystrix-27.1-11753,"18255272, 03941914",27,1,second_phase
Bats as bioindicators of heavy metal pollution: history and prospect,yes,no,yes,yes,no,no,review,2015,Mammalian Biology,NA,NA,10.1016/j.mambio.2015.01.001,1618-1476,80,3,second_phase
"Limitations, lack of standardization, and recommended best practices in studies of renewable energy effects on birds and bats",yes,no,yes,no,yes,,review,2021,Conservation Biology: The Journal of the Society for Conservation Biology,NA,NA,10.1111/cobi.13457,1523-1739,35,1,second_phase
Post-construction bird and bat fatality monitoring studies at wind energy projects in Latin America: A summary and review,yes,no,yes,yes,no,no,review,2021,Heliyon,NA,NA,10.1016/j.heliyon.2021.e07251,2405-8440,7,6,second_phase
Evidence of Antimicrobial Resistance in Bats and Its Planetary Health Impact for Surveillance of Zoonotic Spillover Events: A Scoping Review,yes,no,yes,yes,yes,no,review,2023,International Journal of Environmental Research and Public Health,NA,NA,10.3390/ijerph20010243,1660-4601,20,1,second_phase
Anticoagulants for the Control of the Common Vampire Bat (Desmodus rotundus),yes,no,yes,no,no,,review,2024,Zoonoses and Public Health,NA,NA,10.1111/zph.13196,1863-2378,n/a,n/a,second_phase
Bird and bat species' global vulnerability to collision mortality at wind farms revealed through a trait-based assessment,yes,yes,yes,yes,yes,yes,review,2017,Proceedings of the Royal Society B: Biological Sciences,NA,NA,10.1098/rspb.2017.0829,NA,284,1862,second_phase
Correlated evolution between body size and echolocation in bats (order Chiroptera),yes,no,yes,yes,yes,no,article,2024,BMC Ecology and Evolution,NA,NA,10.1186/s12862-024-02231-4,2730-7182,24,1,second_phase
Ecological correlates of vulnerability to fragmentation in Neotropical bats,yes,no,no,,,,,2008,Journal of Applied Ecology,NA,NA,10.1111/j.1365-2664.2007.01389.x,1365-2664,45,1,second_phase
Bat Eco-Interactions,yes,no,yes,yes,yes,no,database,2024,NA,NA,NA,NA,NA,NA,NA,second_phase
Morphologic Properties of Bat Wings,yes,no,yes,yes,no,no,article,1972,Journal of Mammalogy,NA,NA,10.2307/1379035,0022-2372,53,3,second_phase
Comparative anatomy of the vocal apparatus in bats and implications for the diversity of laryngeal echolocation,yes,no,yes,no,yes,,article,2024,Zoological Journal of the Linnean Society,NA,NA,10.1093/zoolinnean/zlad180,0024-4082,NA,NA,second_phase
"Polydactyly in the largest New World fruit bat, Artibeus lituratus",yes,no,no,,,,,2012,Mammal Review,NA,NA,10.1111/j.1365-2907.2011.00198.x,1365-2907,42,4,second_phase
"Beyond head and wings: Unveiling influence of diet, body size, and phylogeny on the evolution of the femur in phyllostomid bats",yes,no,yes,yes,yes,no,article,2024,The Anatomical Record,NA,NA,10.1002/ar.25551,1932-8494,n/a,n/a,second_phase
Phenotypic traits evolution and morphological traits associated with echolocation calls in cryptic horseshoe bats (Rhinolophidae),yes,yes,no,,,,,2023,Journal of Systematics and Evolution,NA,NA,10.1111/jse.12924,1759-6831,61,4,second_phase
Body mass explains digestive traits in small vespertilionid bats,yes,yes,no,,,,,2021,Journal of Comparative Physiology B,NA,NA,10.1007/s00360-021-01348-y,1432-136X,191,2,second_phase
Phylogeny and foraging behaviour shape modular morphological variation in bat humeri,yes,no,yes,yes,yes,no,article,2021,Journal of Anatomy,NA,NA,10.1111/joa.13380,1469-7580,238,6,second_phase
Dental Variation in Megabats (Chiroptera: Pteropodidae): Tooth Metrics Correlate with Body Size and Tooth Proportions Reflect Phylogeny,yes,no,yes,yes,yes,no,article,2021,Journal of Mammalian Evolution,NA,NA,10.1007/s10914-020-09508-7,1573-7055,28,2,second_phase
Comparative morphology and scaling of the femur in yangochiropteran bats,yes,no,yes,yes,yes,no,article,2019,Journal of Anatomy,NA,NA,10.1111/joa.12996,1469-7580,235,1,second_phase
ATLANTIC BATS: a data set of bat communities from the Atlantic Forests of South America,yes,no,yes,no,yes,,database,2017,Ecology,NA,NA,10.1002/ecy.2007,1939-9170,98,12,second_phase
ATLANTIC MAMMAL TRAITS: a data set of morphological traits of mammals in the Atlantic Forest of South America,no,yes,yes,yes,yes,no,database,2018,Ecology,NA,NA,10.1002/ecy.2106,1939-9170,99,2,second_phase
"An amniote life-history database to perform comparative analyses with birds, mammals, and reptiles",no,no,yes,yes,yes,yes,database,2015,Ecology,NA,NA,10.1890/15-0846R.1,1939-9170,96,11,second_phase
Mammal Diversity Database,no,no,yes,yes,yes,yes,database,2024,NA,Zenodo,NA,10.5281/ZENODO.4139722,NA,NA,NA,second_phase
ZooTraits: An R shiny app for exploring animal trait data for ecological and evolutionary research,no,yes,yes,yes,yes,no,database,2024,Ecology and Evolution,NA,NA,10.1002/ece3.11334,2045-7758,14,5,second_phase
Bringing light onto the Raunkiæran shortfall: A comprehensive review of traits used in functional animal ecology,no,yes,yes,no,yes,,review,2023,Ecology and Evolution,NA,NA,10.1002/ece3.10016,2045-7758,13,4,second_phase
COMBINE: a coalesced mammal database of intrinsic and extrinsic traits,no,yes,yes,yes,yes,no,database,2021,Ecology,NA,NA,10.1002/ecy.3344,"0012-9658, 1939-9170",102,6,second_phase
"AnimalTraits - a curated animal trait database for body mass, metabolic rate and brain size",no,yes,yes,yes,yes,no,database,2022,Scientific Data,NA,NA,10.1038/s41597-022-01364-9,2052-4463,9,NA,second_phase
"Life history, ecology and longevity in bats",yes,no,yes,yes,yes,no,review,2002,Aging Cell,NA,NA,10.1046/j.1474-9728.2002.00020.x,1474-9726,1,2,second_phase
The Vertebrate Trait Ontology: a controlled vocabulary for the annotation of trait data across species,no,yes,yes,no,yes,,database,2013,Journal of Biomedical Semantics,NA,NA,10.1186/2041-1480-4-13,2041-1480,4,1,second_phase
Amphibian traits database: A global database on morphological traits of amphibians,no,yes,no,,,,,2023,Global Ecology and Biogeography,NA,NA,10.1111/geb.13656,1466-8238,32,5,second_phase
Generation length for mammals,no,no,yes,yes,yes,yes,review,2013,Nature Conservation,NA,NA,10.3897/natureconservation.5.5734,1314-3301,5,NA,second_phase
The database of the PREDICTS (Projecting Responses of Ecological Diversity In Changing Terrestrial Systems) project,no,no,yes,no,yes,,database,2017,Ecology and Evolution,NA,NA,10.1002/ece3.2579,2045-7758,7,1,second_phase
FISHMORPH: A global database on morphological traits of freshwater fishes,no,yes,no,,,,,2021,Global Ecology and Biogeography,NA,NA,10.1111/geb.13395,1466-8238,30,12,second_phase
"AVONET: morphological, ecological and geographical data for all birds",no,no,no,,,,,2022,Ecology Letters,NA,NA,10.1111/ele.13898,1461-0248,25,3,second_phase
PHYLACINE 1.2: The Phylogenetic Atlas of Mammal Macroecology,no,no,yes,yes,yes,yes,database,2018,Ecology,NA,NA,10.1002/ecy.2443,"0012-9658, 1939-9170",99,11,second_phase
"PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals",no,no,yes,yes,yes,yes,database,2009,Ecology,NA,NA,10.1890/08-1494.1,1939-9170,90,9,second_phase
EltonTraits 1.0: Species-level foraging attributes of the world's birds and mammals,no,yes,yes,yes,yes,yes,database,2014,Ecology,NA,NA,10.1890/13-1917.1,1939-9170,95,7,second_phase
TetraDENSITY 2.0: A Database of Population Density Estimates in Tetrapods,no,no,yes,yes,yes,no,database,2024,Global Ecology and Biogeography,NA,NA,10.1111/geb.13929,1466-8238,n/a,n/a,second_phase
The Tropical Andes Biodiversity Hotspot: A Comprehensive Dataset for the Mira-Mataje Binational Basins,no,no,yes,no,yes,,database,2024,Scientific Data,NA,NA,10.1038/s41597-024-03463-1,2052-4463,11,1,second_phase
Fig-eating by vertebrate frugivores: a global review,no,no,yes,yes,no,no,review,2001,Biological Reviews,NA,NA,10.1017/S1464793101005760,1469-185X,76,4,second_phase
The PREDICTS database: a global database of how local terrestrial biodiversity responds to human impacts,no,no,yes,no,yes,,database,2014,Ecology and Evolution,NA,NA,10.1002/ece3.1303,2045-7758,4,24,second_phase
"Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide",no,yes,yes,yes,yes,no,database,2014,Ecology and Evolution,NA,NA,10.1002/ece3.1136,2045-7758,4,14,second_phase
The relationship between body mass and field metabolic rate among individual birds and mammals,no,no,yes,yes,yes,no,database,2013,Journal of Animal Ecology,NA,NA,10.1111/1365-2656.12086,1365-2656,82,5,second_phase
Tetrapod Diversity in the Atlantic Forest: Maps and Gaps,no,no,yes,no,yes,,chapter,2021,"The Atlantic Forest: History, Biodiversity, Threats and Opportunities of the Mega-diverse Forest",Springer International Publishing,NA,NA,NA,NA,NA,second_phase
The Global Virome in One Network (VIRION): an Atlas of Vertebrate-Virus Associations,no,no,yes,yes,yes,no,database,2022,mBio,NA,NA,10.1128/mbio.02985-21,NA,13,2,second_phase
COMADRE: a global data base of animal demography,no,no,yes,yes,no,no,database,2016,Journal of Animal Ecology,NA,NA,10.1111/1365-2656.12482,1365-2656,85,2,second_phase
Monitoring Change in Vertebrate Abundance: the Living Planet Index,no,no,yes,no,yes,,review,2009,Conservation Biology,NA,NA,10.1111/j.1523-1739.2008.01117.x,1523-1739,23,2,second_phase
An expert-curated global database of online newspaper articles on spiders and spider bites,no,no,no,,,,,2022,Scientific Data,NA,NA,10.1038/s41597-022-01197-6,2052-4463,9,1,second_phase
Body Mass of Late Quaternary Mammals,no,no,yes,yes,yes,no,database,2003,Ecology,NA,NA,10.1890/02-9003,1939-9170,84,12,second_phase
Home ranges of Recent mammals,no,no,yes,yes,no,no,review,2015,Ecology,NA,NA,10.1890/14-2264.1,1939-9170,96,6,second_phase
"MAMMALS IN PORTUGAL: A data set of terrestrial, volant, and marine mammal occurrences in Portugal",no,no,yes,no,yes,,database,2022,Ecology,NA,NA,10.1002/ecy.3654,1939-9170,103,6,second_phase
ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest,no,no,yes,yes,yes,no,database,2022,Ecology,NA,NA,10.1002/ecy.3595,1939-9170,103,2,second_phase
ZOVER: the database of zoonotic and vector-borne viruses,no,no,yes,yes,yes,no,database,2022,Nucleic Acids Research,NA,NA,10.1093/nar/gkab862,1362-4962,50,D1,second_phase
Ecological Trait-data Standard Vocabulary (v0.10),no,yes,no,,,,,2019,NA,NA,NA,10.5281/zenodo.2605377,NA,NA,NA,second_phase
HomeRange: A global database of mammalian home ranges,no,no,yes,yes,yes,no,database,2023,Global Ecology and Biogeography,NA,NA,10.1111/geb.13625,1466-8238,32,2,second_phase
Frugivoria: A trait database for birds and mammals exhibiting frugivory across contiguous Neotropical moist forests,no,yes,yes,yes,yes,no,database,2023,Global Ecology and Biogeography,NA,NA,10.1111/geb.13716,1466-8238,32,9,second_phase
A phylogeny-informed characterisation of global tetrapod traits addresses data gaps and biases,no,yes,yes,yes,yes,no,database,2024,PLOS Biology,NA,NA,10.1371/journal.pbio.3002658,1545-7885,22,7,second_phase
Identifying global conservation priorities for terrestrial vertebrates based on multiple dimensions of biodiversity,no,no,yes,yes,yes,yes,review,,,,,10.1111/cobi.14205,,,,third_phase
Insufficient and biased representation of species geographic responses to climate change,no,no,yes,yes,yes,no,review,,,,,10.1111/gcb.17408,,,,third_phase
Status and trends in United States terrestrial mammal research since 1900,no,no,yes,yes,yes,no,review,,,,,10.1111/mam.12367,,,,third_phase
,,,,,,,,,,,,,,,,third_phase
