Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"V Zamora‐Gutierrez, ...","Vulnerability of bat–plant pollination interactions due to environmental change",2021,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15611","https://scholar.google.com/scholar?cites=4115873392294634896&as_sdt=2005&sciodt=2007&hl=en",59,"2025-01-07 12:13:53","","10.1111/gcb.15611","","",,,,,30,7.50,15,2,4,"… We included the bat traits specified in the section above into the model to explain differences in how species respond to environmental conditions. This feature is of importance as we …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.15611","https://scholar.google.com/scholar?q=related:kCU0IAuFHjkJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
3,"MJ Hughes, ECB de Torrez, EA Buckner, ...","Consumption of endemic arbovirus mosquito vectors by bats in the southeastern United States",2022,"Journal of Vector …","BioOne","https://bioone.org/journals/journal-of-vector-ecology/volume-47/issue-2/1081-1710-47.2.153/Consumption-of-endemic-arbovirus-mosquito-vectors-by-bats-in-the/10.52707/1081-1710-47.2.153.short","https://scholar.google.com/scholar?cites=14671061722740403330&as_sdt=2005&sciodt=2007&hl=en",60,"2025-01-07 12:13:53","","10.52707/1081-1710-47.2.153.short","","",,,,,3,1.00,1,4,3,": Mosquitoes affect human health and well-being globally through their roles as disease-causing pathogen vectors. Utilizing genetic techniques, we conducted a large-scale dietary …","https://bioone.org/journals/journal-of-vector-ecology/volume-47/issue-2/1081-1710-47.2.153/Consumption-of-endemic-arbovirus-mosquito-vectors-by-bats-in-the/10.52707/1081-1710-47.2.153.pdf","https://scholar.google.com/scholar?q=related:gqzF_ecUmssJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"E Lara, S Roux, B Bolduc, N Solonenko, F Santos, ...","Global assessment of viral communities diversity in the bathypelagic ocean",2017,"","digital.csic.es","https://digital.csic.es/handle/10261/177766","",61,"2025-01-07 12:13:53","","","","",,,,,0,0.00,0,6,8,"The dark ocean contains 70% of the ocean's microbial cells and 60% of its heterotrophic activity, playing a pivotal role in the biogeochemical cycles of the planet. Yet, it is the less …","","https://scholar.google.com/scholar?q=related:oxKxFqKLsWMJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
6,"UM Diniz, LMS Aguiar","The interplay between spatiotemporal overlap and morphology as determinants of microstructure suggests no 'perfect fit'in a bat-flower network",2023,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-023-29965-3","https://scholar.google.com/scholar?cites=4302472175850854965&as_sdt=2005&sciodt=2007&hl=en",62,"2025-01-07 12:13:53","HTML","","","",,,,,6,3.00,3,2,2,"… Large-scale meta-networks in tropical America have shown that relatively generalized networks emerge in several different regions 19 , and that bat traits such as size and skull length …","https://www.nature.com/articles/s41598-023-29965-3","https://scholar.google.com/scholar?q=related:NZqXAaZztTsJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
8,"T Nguyen, P Nguyen, H Pham, T Bui, ...","SP-GPT2: semantics improvement in vietnamese poetry generation",2021,"2021 20th IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9680137/","https://scholar.google.com/scholar?cites=6325652236049558505&as_sdt=2005&sciodt=2007&hl=en",63,"2025-01-07 12:13:53","","","","",,,,,8,2.00,2,5,4,"… Additionally, we are the first to publish a Luc-Bat dataset, including 87609 Luc Bat poems, which is equivalent to about 2.6 million sentences, combined with about 83579 poems in other …","https://arxiv.org/pdf/2110.15723","https://scholar.google.com/scholar?q=related:6atjpjE7yVcJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
31,"CC Voigt, LS Lehnert, AG Popa-Lisseanu, ...","The trans-boundary importance of artificial bat hibernacula in managed European forests",2014,"Biodiversity and …","Springer","https://link.springer.com/article/10.1007/s10531-014-0620-y","https://scholar.google.com/scholar?cites=8408089965103477129&as_sdt=2005&sciodt=2007&hl=en",64,"2025-01-07 12:13:53","","10.1007/s10531-014-0620-y","","",,,,,31,2.82,8,4,11,"Many European migratory bat species hibernate in large hollow trees, a decreasing resource in present day silviculture. Here, we report on the importance of man-made hibernacula to …","https://www.academia.edu/download/45553328/The_trans-boundary_importance_of_artific20160511-30462-11x29jc.pdf","https://scholar.google.com/scholar?q=related:ifGEeUaJr3QJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
22,"JA Bogoni, V Carvalho‐Rocha, ...","Interacting elevational and latitudinal gradients determine bat diversity and distribution across the Neotropics",2021,"Journal of Animal …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2656.13594","https://scholar.google.com/scholar?cites=4814237159592397699&as_sdt=2005&sciodt=2007&hl=en",65,"2025-01-07 12:13:53","","10.1111/1365-2656.13594","","",,,,,22,5.50,7,3,4,"… For bat traits, we also derived bivariate plots between trait sd versus latitude and elevation bands. Finally, we plotted all response variables versus all predictors at the hexagonal-cell in …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2656.13594","https://scholar.google.com/scholar?q=related:g4v9kTCbz0IJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
13,"DN Jones, NAF Ravelomanantsoa, CJ Yeoman, ...","Do gastrointestinal microbiomes play a role in bats' unique viral hosting capacity?",2022,"Trends in …","cell.com","https://www.cell.com/trends/microbiology/fulltext/S0966-842X(21)00302-4","https://scholar.google.com/scholar?cites=6451542019904556473&as_sdt=2005&sciodt=2007&hl=en",66,"2025-01-07 12:13:53","","","","",,,,,13,4.33,3,4,3,"Bats are reservoirs for zoonotic viruses, which they tolerate without experiencing disease. Research focused on deciphering mechanisms of virus tolerance in bats has rarely …","https://www.sciencedirect.com/science/article/am/pii/S0966842X21003024","https://scholar.google.com/scholar?q=related:uc3qDUl7iFkJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
263,"GJ Busenberg","Learning in organizations and public policy",2001,"Journal of public policy","cambridge.org","https://www.cambridge.org/core/journals/journal-of-public-policy/article/learning-in-organizations-and-public-policy/A14DCAC04E5DE9A72E0B8F075C8281DD","https://scholar.google.com/scholar?cites=5648949664585178954&as_sdt=2005&sciodt=2007&hl=en",67,"2025-01-07 12:13:53","","","","",,,,,263,10.96,263,1,24,"This study builds a conceptual framework to guide empirical studies of learning in public policy. Learning in public policy is defined here as a process in which individuals apply new …","https://www.jstor.org/stable/pdf/4007775.pdf","https://scholar.google.com/scholar?q=related:Sl-pX8oZZU4J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
37,"M Blumer, T Brown, MB Freitas, AL Destro, ...","Gene losses in the common vampire bat illuminate molecular adaptations to blood feeding",2022,"Science …","science.org","https://www.science.org/doi/abs/10.1126/sciadv.abm6494","https://scholar.google.com/scholar?cites=9318864821928755465&as_sdt=2005&sciodt=2007&hl=en",68,"2025-01-07 12:13:53","","10.1126/sciadv.abm6494","","",,,,,37,12.33,7,5,3,"Vampire bats are the only mammals that feed exclusively on blood. To uncover genomic changes associated with this dietary adaptation, we generated a haplotype-resolved genome of …","https://www.science.org/doi/full/10.1126/sciadv.abm6494","https://scholar.google.com/scholar?q=related:CYHynC5CU4EJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
193,"CM Carpenter, GF Wayne, GN Connolly","Designing cigarettes for women: new findings from the tobacco industry documents",2005,"Addiction","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1360-0443.2005.01072.x","https://scholar.google.com/scholar?cites=16614805398866209615&as_sdt=2005&sciodt=2007&hl=en",69,"2025-01-07 12:13:53","","10.1111/j.1360-0443.2005.01072.x","","",,,,,193,9.65,64,3,20,"Aims To examine internal tobacco industry research on female smoking patterns and product preferences, and how this research has informed the design of female‐targeted cigarettes …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1360-0443.2005.01072.x","https://scholar.google.com/scholar?q=related:T6upM3ulk-YJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
16,"DMC Alcantara, P Ikeda, CS Souza, VVC de Mello, ...","Multilayer networks assisting to untangle direct and indirect pathogen transmission in bats",2023,"Microbial Ecology","Springer","https://link.springer.com/article/10.1007/s00248-022-02108-3","https://scholar.google.com/scholar?cites=2137224009946810951&as_sdt=2005&sciodt=2007&hl=en",70,"2025-01-07 12:13:53","","10.1007/s00248-022-02108-3","","",,,,,16,8.00,3,5,2,"… We used bat functional traits (forearm length and body mass) and abundances, as well as parasite assemblage characteristics per bat (total assemblage abundance and parasite …","","https://scholar.google.com/scholar?q=related:R8pQ3unxqB0J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"WM Shackelford, DM Cline, FO Burchfield, L Faas, ...","Computer Survey of GC/MS(Gas Chromatography/Mass Spectrometry) Data Acquired in EPA's(Environmental Protection Agency) Priority Pollutant …",1983,"","","","",71,"2025-01-07 12:13:53","CITATION","","","",,,,,0,0.00,0,5,42,"","","https://scholar.google.com/scholar?q=related:-lZrUJu5bGYJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"LC Coberly, KA Chapman, M Eichhorst","Supplemental Report Wyandotte Wind Energy Project Bird and Bat Survey: Risk Analysis, Monitoring and Mitigation",,"wyan.org","","https://www.wyan.org/document_center/Energy%20Programs/Extended%20Avian%20&%20Bat%20Study.pdf","",72,"2025-01-07 12:13:53","PDF","","","",,,,,0,0.00,0,3,,"B&V and Wyandotte Municipal Services requested that AES provide a supplemental report to quantify avian risk, address mitigation and post-construction monitoring at the previously …","https://www.wyan.org/document_center/Energy%20Programs/Extended%20Avian%20&%20Bat%20Study.pdf","https://scholar.google.com/scholar?q=related:LaAFJ6CZRzIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
3,"AM Saxton, EJ Eisen","Genetic analysis of brown adipose tissue, obesity and growth in mice",1984,"Genetics","academic.oup.com","https://academic.oup.com/genetics/article-abstract/106/4/705/5996343","https://scholar.google.com/scholar?cites=6778437411881555320&as_sdt=2005&sciodt=2007&hl=en",73,"2025-01-07 12:13:53","","","","",,,,,3,0.07,2,2,41,"… weights and had little correlation with BAT traits. Selection for 3-… Correlations among BAT traits were very large. Expressing … with BAT traits and surprisingly little correlation with white fat. …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1202300/pdf/705.pdf","https://scholar.google.com/scholar?q=related:eBVrk-nYEV4J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"T Aughney, N Roche","BATLAS 2020–County Kilkenny",2020,"","kilkennyheritage.ie","https://kilkennyheritage.ie/wp-content/uploads/2021/01/BATLAS-2020_CountyKilkenny.pdf","",74,"2025-01-07 12:13:53","PDF","","","",,,,,0,0.00,0,2,5,"… County Kilkenny Bat Dataset .............................................................................................… County Kilkenny Bat Dataset … 3e: All non-target bat records included in the County Kilkenny Bat Dataset. …","https://kilkennyheritage.ie/wp-content/uploads/2021/01/BATLAS-2020_CountyKilkenny.pdf","https://scholar.google.com/scholar?q=related:XNCWKQF7M_IJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
132,"M Vater, M Kössl, AKE Horn","GAD‐and GABA‐immunoreactivity in the ascending auditory pathway of horseshoe and mustached bats",1992,"Journal of Comparative …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cne.903250205","https://scholar.google.com/scholar?cites=3016135358122234095&as_sdt=2005&sciodt=2007&hl=en",75,"2025-01-07 12:13:53","","10.1002/cne.903250205","","",,,,,132,4.00,44,3,33,"A comparative study of the immunostain to antibodies directed against glutamic acid decarboxylase (GAD) and gamma‐aminobutyric acid (GABA) in the ascending auditory pathway …","https://epub.ub.uni-muenchen.de/7083/1/gad-immunoreactivity_and_gaba-immunoreacticity_7083.pdf","https://scholar.google.com/scholar?q=related:7xBfxyB32ykJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
138,"M Carrillo-Araujo, N Taş, ...","Phyllostomid bat microbiome composition is associated to host phylogeny and feeding strategies",2015,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2015.00447/full","https://scholar.google.com/scholar?cites=955148274900586115&as_sdt=2005&sciodt=2007&hl=en",76,"2025-01-07 12:13:53","HTML","10.3389/fmicb.2015.00447","","",,,,,138,13.80,46,3,10,"… Significant contributions of bat-traits to observed differences in prokaryotic diversity was tested … Contribution of bat traits and feeding strategies to observed β-diversity of bat gut microbial …","https://www.frontiersin.org/articles/10.3389/fmicb.2015.00447/full","https://scholar.google.com/scholar?q=related:g85GoUteQQ0J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
2,"JP Townsend, J Aldstadt","Habitat suitability mapping using logistic regression analysis of long-term bioacoustic bat survey dataset in the Cassadaga Creek watershed (USA)",2023,"Science of the Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969723037002","https://scholar.google.com/scholar?cites=11789253796573875882&as_sdt=2005&sciodt=2007&hl=en",77,"2025-01-07 12:13:53","HTML","","","",,,,,2,1.00,1,2,2,"… This report built on that work by pairing a long-term bioacoustic bat dataset with land cover variables to map habitat suitability for bats in the study area of the Cassadaga Creek …","https://www.sciencedirect.com/science/article/pii/S0048969723037002","https://scholar.google.com/scholar?q=related:qg62p93Xm6MJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
9,"A González, V Dubut, E Corse, R Mekdad, ...","VTAM: A robust pipeline for validating metabarcoding data using controls",2023,"Computational and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S200103702300034X","https://scholar.google.com/scholar?cites=4766768603539429749&as_sdt=2005&sciodt=2007&hl=en",78,"2025-01-07 12:13:53","HTML","","","",,,,,9,4.50,2,5,2,"… The bat dataset is the result of diet analyses of different species. Therefore, beta diversity was calculated separately within and between bat species. The read count cut-off was 60 for …","https://www.sciencedirect.com/science/article/pii/S200103702300034X","https://scholar.google.com/scholar?q=related:ddlzHMr2JkIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
41,"HK Frank, LO Frishkoff, CD Mendenhall, ...","Phylogeny, traits, and biodiversity of a Neotropical bat assemblage: close relatives show similar responses to local deforestation",2017,"The American …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/692534","https://scholar.google.com/scholar?cites=622084866714295874&as_sdt=2005&sciodt=2007&hl=en",79,"2025-01-07 12:13:53","","10.1086/692534","","",,,,,41,5.13,10,4,8,"If species’ evolutionary pasts predetermine their responses to evolutionarily novel stressors, then phylogeny could predict species survival in an increasingly human-dominated world. …","https://www.jstor.org/stable/pdf/26519410.pdf","https://scholar.google.com/scholar?q=related:Qt6m7OMWoggJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"G Cusumano, A Segreto, V La Parola, A D'Aı, N Masetti, ...","A SWIFT VIEW ON THE HMXB IGR J16283–4838 UNVEILS A∼ 288 DAYS ORBITAL PERIOD.",,"Citeseer","","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=957019dc1bfda810e49f627b7df4675d3a88fa5c","",80,"2025-01-07 12:13:53","PDF","","","",,,,,0,0.00,0,6,,"The Swift-BAT survey provides an extensive and continuous monitoring of hard X-ray sources and thus it is particularly suited for the study of their long term temporal properties. We …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=957019dc1bfda810e49f627b7df4675d3a88fa5c","https://scholar.google.com/scholar?q=related:arjhpefz1oQJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"CD McKee, AI Krawczyk, AD Sándor, T Görföl, ...","Supplementary Material Host phylogeny, geographic overlap, and roost sharing shape parasite communities in European bats",,"researchgate.net","","https://www.researchgate.net/profile/Mihaly-Foeldvari/publication/331993689_Data_Sheet_1_Host_Phylogeny_Geographic_Overlap_and_Roost_Sharing_Shape_Parasite_Communities_in_European_BatsPDF/data/5c9a3ca845851506d72d90ac/Data-Sheet-1-Host-Phylogeny-Geographic-Overlap-and-Roost-Sharing-Shape-Parasite-Communities-in-European-Bats.PDF","",81,"2025-01-07 12:13:53","PDF","","","",,,,,0,0.00,0,5,,"… For the phylogenetic and ancestral state reconstruction analyses on the European bat dataset (n = 452 sequences), we ran three separate MCMC chains for 2x108 iterations, sampling …","https://www.researchgate.net/profile/Mihaly-Foeldvari/publication/331993689_Data_Sheet_1_Host_Phylogeny_Geographic_Overlap_and_Roost_Sharing_Shape_Parasite_Communities_in_European_BatsPDF/data/5c9a3ca845851506d72d90ac/Data-Sheet-1-Host-Phylogeny-Geographic-Overlap-and-Roost-Sharing-Shape-Parasite-Communities-in-European-Bats.PDF","https://scholar.google.com/scholar?q=related:V8TbpxOu54sJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
7,"G Cusumano, V La Parola, A Segreto, ...","The Palermo Swift-BAT hard X-ray catalogue-II. Results after 39 months of sky survey",2010,"Astronomy & …","aanda.org","https://www.aanda.org/articles/aa/abs/2010/02/aa11184-08/aa11184-08.html","https://scholar.google.com/scholar?cites=6548394324294961089&as_sdt=2005&sciodt=2007&hl=en",82,"2025-01-07 12:13:53","","","","",,,,,7,0.47,2,4,15,"… We analyzed the BAT dataset in three energy bands (14-150 keV, 14-30 keV, 14-70 keV), obtaining a list of 962 detections above a significance threshold of 4.8 standard deviations. …","https://www.aanda.org/articles/aa/pdf/2010/02/aa11184-08.pdf","https://scholar.google.com/scholar?q=related:wQfJbPGR4FoJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
59,"GJ Busenberg","Innovation, learning, and policy evolution in hazardous systems",2000,"American Behavioral Scientist","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/00027640021956323","https://scholar.google.com/scholar?cites=7081511622762607360&as_sdt=2005&sciodt=2007&hl=en",83,"2025-01-07 12:13:53","","10.1177/00027640021956323","","",,,,,59,2.36,59,1,25,"… Unlike the BAT review, collaborative studies do … However, information gathered in the BAT review demonstrated that … The BAT review process drove the deployment of tractor tug …","","https://scholar.google.com/scholar?q=related:ALOQK02VRmIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
75,"L Nanni, YMG Costa, RL Aguiar, RB Mangolin, ...","Ensemble of convolutional neural networks to improve animal audio classification",2020,"EURASIP Journal on …","Springer","https://link.springer.com/article/10.1186/s13636-020-00175-3","https://scholar.google.com/scholar?cites=14141399863260770170&as_sdt=2005&sciodt=2007&hl=en",84,"2025-01-07 12:13:53","HTML","10.1186/s13636-020-00175-3","","",,,,,75,15.00,15,5,5,"… The approaches which were unable to be applied to the BAT dataset were not considered … outperform the state of the art for the BAT dataset, being the best individual result obtained by …","https://link.springer.com/article/10.1186/s13636-020-00175-3","https://scholar.google.com/scholar?q=related:em9qVEBYQMQJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
4,"G Cusumano, A Segreto, V La Parola, ...","SWIFT OBSERVATIONS OF THE HIGH-MASS X-RAY BINARY IGR J16283–4838 UNVEIL A 288 DAY ORBITAL PERIOD",2013,"The Astrophysical …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/2041-8205/775/1/L25/meta","https://scholar.google.com/scholar?cites=13996205971673794788&as_sdt=2005&sciodt=2007&hl=en",85,"2025-01-07 12:13:53","","10.1088/2041-8205/775/1/L25","","",,,,,4,0.33,1,4,12,"We report on the temporal and spectral properties of the high-mass X-ray binary IGR J16283–4838 in the hard X-ray band. We searched the first 88 months of Swift Burst Alert …","https://iopscience.iop.org/article/10.1088/2041-8205/775/1/L25/pdf","https://scholar.google.com/scholar?q=related:5EjRGC2DPMIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
3,"JW Wynne, M Tachedjian","Bat genomics",2015,"Bats and Viruses: A New Frontier of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118818824.ch13","https://scholar.google.com/scholar?cites=16334702914726117607&as_sdt=2005&sciodt=2007&hl=en",86,"2025-01-07 12:13:53","","10.1002/9781118818824.ch13","","",,,,,3,0.30,2,2,10,"The advent of next generation sequencing has enabled sequencing of the genome and transcriptome of bats from both the Yinpterochiroptera and Yangochiroptera suborders. Since …","","https://scholar.google.com/scholar?q=related:58DJh8GFsOIJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
1,"JR Valeur, L Ruggiero","ALARP methodology used for BAT environmental impact reduction",2016,"… Conference and Exhibition on Health, Safety …","onepetro.org","https://onepetro.org/SPEHSE/proceedings-abstract/16HSE/2-16HSE/187037","https://scholar.google.com/scholar?cites=10535914986077954183&as_sdt=2005&sciodt=2007&hl=en",87,"2025-01-07 12:13:53","","","","",,,,,1,0.11,1,2,9,"… A BAT review workshop was carried out using the same methods as when carrying out a Hazard Identification (HAZID) workshop and an ALARP workshop. The participants were mainly …","","https://scholar.google.com/scholar?q=related:hyDksNsWN5IJ:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
0,"C Rack, L Schach, F Achter, Y Shehada, J Lin, ...","Motion Passwords",2024,"Proceedings of the 30th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3641825.3687711","",88,"2025-01-07 12:13:53","","10.1145/3641825.3687711","","",,,,,0,0.00,0,6,1,"This paper introduces “Motion Passwords”, a novel biometric authentication approach where virtual reality users verify their identity by physically writing a chosen word in the air with …","https://dl.acm.org/doi/pdf/10.1145/3641825.3687711","https://scholar.google.com/scholar?q=related:mT89VupFLX0J:scholar.google.com/&scioq=%22bat+review%22%7C%22bat+dataset%22%7C%22bat+global+assessment%22%7C%22bat+traits%22%7C%22bat+functional+traits%22%7C%22bat+meta+analysis%22%7C%22bat+data+paper%22&hl=en&as_sdt=2007"
