trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
Echolocation type,,,,categorical ,.na,"1= CF (constant frequency), 2= FM (frequency modulated), 3= QCF (quasi- constant frequency)",.na,.na,The type of the echolocation call,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Frequency of maximum energy (FME),,,,numeric,kHz,.na,,,Frequence of maximum energy of the call,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
End frequency (EF),,,,numeric,kHz,.na,,,End frequency of the call ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Dusk,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Night,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Dawn,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Day,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Crevices in rocks (CRR),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Roost type of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Crevices in trees (CRT),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Roost type of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Caves and sinkhole (CA),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Roost type of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Foliage (FO),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Roost type of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Human buildings (HB),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Roost type of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Rocky outcrops (RO),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Roost type of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Holes in the ground (HG),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Roost type of the species,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Pest control,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of pest control ecosystem service,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Seed dispersal,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of seed dispersal ecosystem service,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Pollination,,,,categorical ,.na,"1= yes, 2=no",.na,.na,Presence of pollination ecosystem service,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Overharvesting for food (OH),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Deforestation (DE),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Persecution (P),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Habitat loss (HL),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Dead trees removal (DTR),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Roost disturbance (RD),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Collisions (COL),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Chemical pollution (CP),,,,categorical ,.na,"1= yes, 2=no",.na,.na,Threats for the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Conservation status,,,,categorical ,.na,"DD= Data Deficient, LC= Least Concern, NT= Near Threatened, VU= Vulnerable, EN= Endangered, CR= Critically Endangered, NE= Not Evaluated",.na,.na,Conservation status of the species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Insectivorous,,,,categorical ,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Insectivorous species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Frugivorous,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Frugivorous species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nectarivorous,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Nectarivorous species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Carnivorous,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Carnivorous species ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Ground,,,,categorical ,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Ground foraging,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Aerial,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Aerial foraging,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Vegetation,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Vegetation foraging,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Aquatic ,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Aquatic foraging,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Clutter ,,,,categorical ,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Clutter foraging habitat,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Clutter_Edge,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Clutter-edge/ edge foraging habitat,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Open,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Open foraging habitat,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hawking,,,,categorical ,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Hawking strategy ,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Gleaning,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Gleaning strategy,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Flycatching ,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Flycatching strategy,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Trawling,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Trawling strategy,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hovering,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Hovering strategy,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Perching,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Perching strategy,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Seeds,,,,categorical ,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of seeds in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Fruits,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of fruits in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Leaves,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of leaves in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Flowers ,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of flowers in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nectar,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of nectar in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Insects,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of insects in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Arachnids,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of arachnids in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Centipedes,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of chilopods in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Fishes,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of fishes in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Amphibians,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of amphibians in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Reptiles ,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of reptiles in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Birds,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of birds in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Mammals,,,,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of mammals in the diet,,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
CallBandwidth,,,,numeric,kHz,.na,,,The range of frequencies through which an echolocation call sweeps,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallDuration,,,,numeric,ms,.na,,,Duration of a call,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallEndFrequency,,,,numeric,kHz,.na,,,Frequency value measured at the end of the call,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
InterpulseInterval,,,,numeric,ms,.na,,,Time interval between two consecutive calls,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallMaxFrequency,,,,numeric,kHz,.na,,,Maximum frequency value of the call,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallMidFrequency,,,,numeric,kHz,.na,,,Frequency of highest energy taken at half call duration,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallMinFrequency,,,,numeric,kHz,.na,,,Minimum frequency value of the call,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallPeakFrequency,,,,numeric,kHz,.na,,,Frequency with the greatest amount of energy in a call,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallSlope,,,,numeric,kHz/ms,.na,,,"Total slope of the call, calculated from the difference in frequency and time from the point of highest frequency to the point of the characteristic frequency",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallStartFrequency,,,,numeric,kHz,.na,,,Frequency value measured at the beginning of the call,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
rateBuzz,,,,numeric,Number_of_buzzes/hour,.na,,,Number of feeding buzzes per hour,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
buzzDuration,,,,numeric,ms,.na,,,Duration of a feeding buzz (including pre-buzz phase),,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
buzzPeakFrequency,,,,numeric,kHz,.na,,,Frequency with the greatest amount of energy in a feeding buzz call,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallType,,,,categorical,.na,"FM (frequency modulated), FM/QCF (frequency modulated or quasi-constant frequency), CF+FM constant-frequency with modulated frequency components)",.na,.na,"Call type: FM (frequency modulated), FM/QCF (frequency modulated or quasi-constant frequency), CF+FM constant-frequency with modulated frequency components)",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxLongevity,,,,numeric,years,.na,,,Maximum record of longevity in the wild,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FirstMainPreyItem,,,,categorical,.na,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,"Order of the main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SecondMainPreyItem,,,,categorical,.na,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,"Order of the second main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdMainPreyItem,,,,categorical,.na,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,"Order of the third main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DietaryNicheBreadth,,,,numeric,.na,.na,,,Dietary niche breadth calculated using Levin’s standardised index: higher values indicate large niche breadth,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DietaryDiversity,,,,numeric,.na,.na,,,Dietary diversity calculated using Shannon-Weaver diversity index: higher values indicate highly diverse diet,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DietType,,,,categorical,.na,"insectivorous, frugivorous",.na,.na,"Diet type: insectivorous, frugivorous",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
TrophicSpecialization,,,,numeric,index,.na,,,Trophic specialisation calculated using the coefficient of variation: higher values indicate high level of specialisation towards a given prey order,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SpeciesHabitatSpecializationIndex,,,,numeric,.na,.na,,,Species habitat specialisation index: degree of specialisation of a species in its use of a habitat for foraging/commuting calculated using the coefficient of variation: higher values indicate high level of specialisation towards a given habitat.,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DeciduousForestAffinitySmallScale,,,,numeric,.na,.na,,,Estimated response to decideous forest at 50 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ConiferousForestAffinitySmallScale,,,,numeric,.na,.na,,,Estimated response to coniferous forest at 50 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DenseUrbanAreaAffinitySmallScale,,,,numeric,.na,.na,,,Estimated response to dense urban area at 50 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FreshwaterAffinitySmallScale,,,,numeric,.na,.na,,,Estimated response to freshwater at 50 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CroplandAffinitySmallScale,,,,numeric,.na,.na,,,Estimated response to cropland at 50 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GrasslandAffinitySmallScale,,,,numeric,.na,.na,,,Estimated response to grassland at 50 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DeciduousForestAffinityMediumScale,,,,numeric,.na,.na,,,Estimated response to decideous forest at 500 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ConiferousForestAffinityMediumScale,,,,numeric,.na,.na,,,Estimated response to coniferous at 500 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DenseUrbanAreaAffinityMediumScale,,,,numeric,.na,.na,,,Estimated response to dense urban area at 500 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FreshwaterAffinityMediumScale,,,,numeric,.na,.na,,,Estimated response to freshwater at 500 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CroplandAffinityMediumScale,,,,numeric,.na,.na,,,Estimated response to cropland at 500 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GrasslandAffinityMediumScale,,,,numeric,.na,.na,,,Estimated response to grassland at 500 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DeciduousForestAffinityLargeScale,,,,numeric,.na,.na,,,Estimated response to cropland at 5000 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ConiferousForestAffinityLargeScale,,,,numeric,.na,.na,,,Estimated response to grassland at 5000 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DenseUrbanAreaAffinityLargeScale,,,,numeric,.na,.na,,,Estimated response to dense urban area at 5000 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FreshwaterAffinityLargeScale,,,,numeric,.na,.na,,,Estimated response to freshwater at 5000 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CroplandAffinityLargeScale,,,,numeric,.na,.na,,,Estimated response to cropland at 5000 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GrasslandAffinityLargeScale,,,,numeric,.na,.na,,,Estimated response to grassland at 5000 m radius buffer scale calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasForest,,,,categorical,.na,"yes, no",.na,.na,"Forest as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasWoodedRiparianHabitat,,,,categorical,.na,"yes, no",.na,.na,"Wooded riparian habitat as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasWetland,,,,categorical,.na,"yes, no",.na,.na,"Wetland as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasWaterBodies,,,,categorical,.na,"yes, no",.na,.na,"Water bodies as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasGrassland,,,,categorical,.na,"yes, no",.na,.na,"Grassland as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasHedgerows,,,,categorical,.na,"yes, no",.na,.na,"Hedgerows as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasOrchard,,,,categorical,.na,"yes, no",.na,.na,"Orchard as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasShrubland,,,,categorical,.na,"yes, no",.na,.na,"Shrubland as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasOpenHabitat,,,,categorical,.na,"yes, no",.na,.na,"Open habitat as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasUrbanParKGarden,,,,categorical,.na,"yes, no",.na,.na,"Urban park/garden as critical feeding areas: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
AllelicRichness,,,,numeric,Number of alleles,.na,,,Average number of alleles (genetic variants) per microsatellite locus,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CompleteMitochondrialGenome(bp),,,,numeric,base pairs,.na,,,Number of base pairs in complete mtDNA genome,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GeneticPopulationStructure,,,,numeric,Number of sub-populations,.na,,,Number of genetic sub-population clusters measured according to individual ancestry based on microsatellite or SNP datasets,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GenomeSize_(Gb),,,,numeric,Giga base pairs,.na,,,The amount of DNA in the genome measured as number of nucleotide base pairs,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Hybridization,,,,categorical,.na,"yes, no, possible",.na,.na,"Hybridization: yes, no, possible",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Karyotype,,,,numeric,Number of chromosomes,.na,,,Number of chromosomes,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Linage,,,,numeric,Number of genetic lineages,.na,,,Number of genetic lineages in the phylogenetic tree constructed with nuclear DNA or mitochondrial DNA sequences,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
NF,,,,numeric,Number of chromosomal arms,.na,,,Number of chromosomal arms,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
NFa,,,,numeric,Number of autosomal arms,.na,,,Number of autosomal arms,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
EstExtentOccurrence,,,,numeric,km2,.na,,,"Estimated extent of occurrence: area contained within the shortest continuous imaginary boundary which can be drawn to encompass all the known, inferred or projected sites of present occurrence of a taxon, excluding cases of vagrancy",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GeographicRange,,,,numeric,km2,.na,,,Spatial area where a species is found,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
UpperElevationLimit,,,,numeric,m,.na,,,Upper elevation limit,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
IslandEndemic,,,,categorical,.na,"yes, no",.na,.na,"Endemic to an island: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
AltitudinalMigration,,,,categorical,.na,"yes, no, possible",.na,.na,"Altitudinal migration: yes, no, possible",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BodyMass,,,,numeric,g,.na,,,Body mass,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdDigitLength,,,,numeric,mm,.na,,,Third digit length,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FifthDigitLength,,,,numeric,mm,.na,,,Fifth digit length,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ForearmLength,,,,numeric,mm,.na,,,Forearm length,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
LCBLCCRatio,,,,numeric,.na,.na,,,Ratio condylobasal length/condylocanine length,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CM3,,,,numeric,mm,.na,,,Length of upper tooth row,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
AspectRatioIndex,,,,numeric,.na,.na,,,Aspect ratio index,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
WingLoadingIndex,,,,numeric,g/dm2,.na,,,Wing loading index,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Endoparasites,,,,character,.na,,.na,.na,Endoparasites identified in the species,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Fungi,,,,character,.na,,.na,.na,Fungal pathogens identified in the species,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Viruses,,,,character,.na,,.na,.na,Viruses identified in the species,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SeasonalActivityPatternKurtosis,,,,numeric,.na,.na,,,"Kurtosis index of the seasonal activity pattern: kurtosis is the measure of the sharpness of the peak of a frequency distribution, with positive values indicating heavy tails and negative values indicated light tails",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SeasonalActivityPatternSkewness,,,,numeric,.na,.na,,,"Skewness index of the seasonal activity pattern: if values <-0.5: indication of a substantially skewed distribution towards the spring, if values >0.5: indication of a substantially skewed distribution towards the autumn, if values [-0.5,5]: distribution fairly symmetrical with peak around mid-summer",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BasalMetabolicRate,,,,numeric,ml O2/h,.na,,,"calculated from measurements of heat production or oxygen consumption in an organism in post-absorptive state, and thermoneutral zone",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BasalMetabolicRatePerc,,,,numeric,%,.na,,,Basal rate of metabolism as a percentage of the value expected from the equation described in Genoud et al. (2018),,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DigestiveEfficiency,,,,numeric,%,.na,,,A measure of how much of a feed or nutrient appears to be digested,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HeartRateFlight,,,,numeric,bpm,.na,,,"Heart rate during flight (beats per minutes, bpm)",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HeartRateResting,,,,numeric,bpm,.na,,,"Heart rate during rest (beats per minutes, bpm)",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
HeartRateTorpor,,,,numeric,bpm,.na,,,"Heart rate during torpor (beats per minutes, bpm)",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxTorporBoutDuration,,,,numeric,h,.na,,,Maximum torpor bout duration,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MeanTorporBoutDuration,,,,numeric,h,.na,,,Mean torpor bout duration,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BodyTempTNZ,,,,numeric,˚C,.na,,,"Minimum body temperature of the species while in its thermoneutral zone (not corrected). The thermoneutral zone is the range of ambient temperature at which temperature regulation is achieved only by control of sensible heat loss, i.e., without regulatory changes in metabolic heat production or evaporative heat loss.",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
RestingMetabolicRate,,,,numeric,W kg-1,.na,,,The metabolic rate of an animal that is resting in a thermoneutral environment but not in the postabsorptive state,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
TotalEvaporativeWaterLossRate,,,,numeric,ml/h,.na,,,The sum of cutaneous evaporative water loss and respiratory evaporative water loss,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
TorporBehavior,,,,categorical,.na,"yes, no",.na,.na,"Torpor behaviour: yes, no",,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SpeciesThermalIndex,,,,numeric,°C,.na,,,Species thermal index: thermal preference of a species expressed as the average temperature a species experiences across its geographic range,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ResponseToNightlyTemperature,,,,numeric,.na,.na,,,Estimated response to temperature at night calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ResponseToNightlyPrecipitation,,,,numeric,.na,.na,,,Estimated response to the amount of precipitations at night calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ResponseToNightlyWindSpeed,,,,numeric,.na,.na,,,Estimated response to wind speed at night calculated from generalized linear mixed model,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GestationTime,,,,numeric,days,.na,,,Time of gestation,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
LitterSize,,,,numeric,individuals,.na,,,Number of offspring per year,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SexualMaturityFemale,,,,numeric,days,.na,,,Average age at sexual or reproductive maturity of female,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SexualMaturityMale,,,,numeric,days,.na,,,Average age at sexual or reproductive maturity of male,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Weaning,,,,numeric,days,.na,,,Weaning time,,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
