trait,broaderTerm,narrowerTerm,relatedTerm,valueType,expectedUnit,factorLevels,maxAllowedValue,minAllowedValue,traitDescription,comments,source,fa_y
Weaning length,NA,NA,NA,numeric,days,.na,NA,NA,The length of the weaning period,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Litter size,NA,NA,NA,numeric,.na,.na,NA,NA,Number of live offspring produced in one litter,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Number of litters per year,NA,NA,NA,numeric,.na,.na,NA,NA,Number of litters per female per year,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Interval between births,NA,NA,NA,numeric,days,.na,NA,NA,The interval between two consecutive pregnancy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Parental cares,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of parental cares,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nursery roost,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of nursery roost,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nursery roost size,NA,NA,NA,numeric,number of individuals,.na,NA,NA,Number of individuals in a nursery roost,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Life-span in the wild,NA,NA,NA,numeric,years,.na,NA,NA,The length of life in the wild,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Life-span in captivity,NA,NA,NA,numeric,years,.na,NA,NA,The length of life in captivity,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Home range (F/M/U),NA,NA,NA,numeric,Km²,.na,NA,NA,Size of the home range area,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Dispersal distance (F/M/U),NA,NA,NA,numeric,Km,.na,NA,NA,Dispersal distance,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Territoriality (F/M/U),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Territoriality of the species individuals,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Migratory,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of migratory behavior,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Colony size number,NA,NA,NA,numeric,number of individuals,.na,NA,NA,Number of individuals in a colony,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Colony size,NA,NA,NA,categorical,.na,"1 = small, 2= medium, 3 = large",.na,.na,Size of the colony,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Mixed colony,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of different species in the same colony,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hibernation,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of hibernation period.,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hibernation length,NA,NA,NA,numeric,days,.na,NA,NA,Length of the hibernation period,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Echolocation,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of echolocation,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Echolocation type,NA,NA,NA,categorical,.na,"1= CF (constant frequency), 2= FM (frequency modulated), 3= QCF (quasi- constant frequency)",.na,.na,The type of the echolocation call,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Frequency of maximum energy (FME),NA,NA,NA,numeric,kHz,.na,NA,NA,Frequence of maximum energy of the call,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
End frequency (EF),NA,NA,NA,numeric,kHz,.na,NA,NA,End frequency of the call,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Dusk,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Night,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Dawn,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Activity pattern/Day,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Activity pattern of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Crevices in rocks (CRR),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Roost type of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Crevices in trees (CRT),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Roost type of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Caves and sinkhole (CA),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Roost type of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Foliage (FO),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Roost type of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Human buildings (HB),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Roost type of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Rocky outcrops (RO),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Roost type of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Roost type/Holes in the ground (HG),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Roost type of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Pest control,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of pest control ecosystem service,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Seed dispersal,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of seed dispersal ecosystem service,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Pollination,NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Presence of pollination ecosystem service,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Overharvesting for food (OH),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Deforestation (DE),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Persecution (P),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Habitat loss (HL),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Dead trees removal (DTR),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Roost disturbance (RD),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Collisions (COL),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Threats/Chemical pollution (CP),NA,NA,NA,categorical,.na,"1= yes, 2=no",.na,.na,Threats for the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Conservation status,NA,NA,NA,categorical,.na,"DD= Data Deficient, LC= Least Concern, NT= Near Threatened, VU= Vulnerable, EN= Endangered, CR= Critically Endangered, NE= Not Evaluated",.na,.na,Conservation status of the species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Insectivorous,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Insectivorous species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Frugivorous,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Frugivorous species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nectarivorous,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Nectarivorous species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Carnivorous,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Carnivorous species,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Ground,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Ground foraging,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Aerial,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Aerial foraging,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Vegetation,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Vegetation foraging,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Aquatic,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Aquatic foraging,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Clutter,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Clutter foraging habitat,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Clutter_Edge,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Clutter-edge/ edge foraging habitat,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Open,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Open foraging habitat,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hawking,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Hawking strategy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Gleaning,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Gleaning strategy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Flycatching,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Flycatching strategy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Trawling,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Trawling strategy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Hovering,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Hovering strategy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Perching,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Perching strategy,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Seeds,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of seeds in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Fruits,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of fruits in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Leaves,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of leaves in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Flowers,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of flowers in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Nectar,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of nectar in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Insects,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of insects in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Arachnids,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of arachnids in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Centipedes,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of chilopods in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Fishes,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of fishes in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Amphibians,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of amphibians in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Reptiles,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of reptiles in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Birds,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of birds in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
Mammals,NA,NA,NA,categorical,.na,"0 = never, 1 = occasional, 2 = typical",.na,.na,Presence of mammals in the diet,NA,https://doi.org/10.1038/s41597-023-02472-w,Cosentino_2023
CallBandwidth,NA,NA,NA,numeric,kHz,.na,NA,NA,The range of frequencies through which an echolocation call sweeps,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallDuration,NA,NA,NA,numeric,ms,.na,NA,NA,Duration of a call,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallEndFrequency,NA,NA,NA,numeric,kHz,.na,NA,NA,Frequency value measured at the end of the call,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
InterpulseInterval,NA,NA,NA,numeric,ms,.na,NA,NA,Time interval between two consecutive calls,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallMaxFrequency,NA,NA,NA,numeric,kHz,.na,NA,NA,Maximum frequency value of the call,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallMidFrequency,NA,NA,NA,numeric,kHz,.na,NA,NA,Frequency of highest energy taken at half call duration,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallMinFrequency,NA,NA,NA,numeric,kHz,.na,NA,NA,Minimum frequency value of the call,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallPeakFrequency,NA,NA,NA,numeric,kHz,.na,NA,NA,Frequency with the greatest amount of energy in a call,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallSlope,NA,NA,NA,numeric,kHz/ms,.na,NA,NA,"Total slope of the call, calculated from the difference in frequency and time from the point of highest frequency to the point of the characteristic frequency",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallStartFrequency,NA,NA,NA,numeric,kHz,.na,NA,NA,Frequency value measured at the beginning of the call,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
rateBuzz,NA,NA,NA,numeric,Number_of_buzzes/hour,.na,NA,NA,Number of feeding buzzes per hour,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
buzzDuration,NA,NA,NA,numeric,ms,.na,NA,NA,Duration of a feeding buzz (including pre-buzz phase),NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
buzzPeakFrequency,NA,NA,NA,numeric,kHz,.na,NA,NA,Frequency with the greatest amount of energy in a feeding buzz call,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CallType,NA,NA,NA,categorical,.na,"FM (frequency modulated), FM/QCF (frequency modulated or quasi-constant frequency), CF+FM constant-frequency with modulated frequency components)",.na,.na,"Call type: FM (frequency modulated), FM/QCF (frequency modulated or quasi-constant frequency), CF+FM constant-frequency with modulated frequency components)",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
MaxLongevity,NA,NA,NA,numeric,years,.na,NA,NA,Maximum record of longevity in the wild,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FirstMainPreyItem,NA,NA,NA,categorical,.na,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,"Order of the main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SecondMainPreyItem,NA,NA,NA,categorical,.na,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,"Order of the second main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdMainPreyItem,NA,NA,NA,categorical,.na,"Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",.na,.na,"Order of the third main prey item: Lepidoptera, Coleoptera, Diptera, Trichoptera, Hymenoptera, Orthoptera, Arachnida",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DietaryNicheBreadth,NA,NA,NA,numeric,.na,.na,NA,NA,Dietary niche breadth calculated using Levin’s standardised index: higher values indicate large niche breadth,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DietaryDiversity,NA,NA,NA,numeric,.na,.na,NA,NA,Dietary diversity calculated using Shannon-Weaver diversity index: higher values indicate highly diverse diet,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DietType,NA,NA,NA,categorical,.na,"insectivorous, frugivorous",.na,.na,"Diet type: insectivorous, frugivorous",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
TrophicSpecialization,NA,NA,NA,numeric,index,.na,NA,NA,Trophic specialisation calculated using the coefficient of variation: higher values indicate high level of specialisation towards a given prey order,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
SpeciesHabitatSpecializationIndex,NA,NA,NA,numeric,.na,.na,NA,NA,Species habitat specialisation index: degree of specialisation of a species in its use of a habitat for foraging/commuting calculated using the coefficient of variation: higher values indicate high level of specialisation towards a given habitat.,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DeciduousForestAffinitySmallScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to decideous forest at 50 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ConiferousForestAffinitySmallScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to coniferous forest at 50 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DenseUrbanAreaAffinitySmallScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to dense urban area at 50 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FreshwaterAffinitySmallScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to freshwater at 50 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CroplandAffinitySmallScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to cropland at 50 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GrasslandAffinitySmallScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to grassland at 50 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DeciduousForestAffinityMediumScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to decideous forest at 500 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ConiferousForestAffinityMediumScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to coniferous at 500 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DenseUrbanAreaAffinityMediumScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to dense urban area at 500 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FreshwaterAffinityMediumScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to freshwater at 500 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CroplandAffinityMediumScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to cropland at 500 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GrasslandAffinityMediumScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to grassland at 500 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DeciduousForestAffinityLargeScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to cropland at 5000 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ConiferousForestAffinityLargeScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to grassland at 5000 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
DenseUrbanAreaAffinityLargeScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to dense urban area at 5000 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
FreshwaterAffinityLargeScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to freshwater at 5000 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CroplandAffinityLargeScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to cropland at 5000 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GrasslandAffinityLargeScale,NA,NA,NA,numeric,.na,.na,NA,NA,Estimated response to grassland at 5000 m radius buffer scale calculated from generalized linear mixed model,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasForest,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Forest as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasWoodedRiparianHabitat,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Wooded riparian habitat as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasWetland,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Wetland as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasWaterBodies,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Water bodies as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasGrassland,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Grassland as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasHedgerows,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Hedgerows as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasOrchard,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Orchard as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasShrubland,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Shrubland as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasOpenHabitat,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Open habitat as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CriticalFeedingAreasUrbanParKGarden,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Urban park/garden as critical feeding areas: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
AllelicRichness,NA,NA,NA,numeric,Number of alleles,.na,NA,NA,Average number of alleles (genetic variants) per microsatellite locus,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
CompleteMitochondrialGenome(bp),NA,NA,NA,numeric,base pairs,.na,NA,NA,Number of base pairs in complete mtDNA genome,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GeneticPopulationStructure,NA,NA,NA,numeric,Number of sub-populations,.na,NA,NA,Number of genetic sub-population clusters measured according to individual ancestry based on microsatellite or SNP datasets,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GenomeSize_(Gb),NA,NA,NA,numeric,Giga base pairs,.na,NA,NA,The amount of DNA in the genome measured as number of nucleotide base pairs,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Hybridization,NA,NA,NA,categorical,.na,"yes, no, possible",.na,.na,"Hybridization: yes, no, possible",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Karyotype,NA,NA,NA,numeric,Number of chromosomes,.na,NA,NA,Number of chromosomes,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
Linage,NA,NA,NA,numeric,Number of genetic lineages,.na,NA,NA,Number of genetic lineages in the phylogenetic tree constructed with nuclear DNA or mitochondrial DNA sequences,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
NF,NA,NA,NA,numeric,Number of chromosomal arms,.na,NA,NA,Number of chromosomal arms,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
NFa,NA,NA,NA,numeric,Number of autosomal arms,.na,NA,NA,Number of autosomal arms,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
EstExtentOccurrence,NA,NA,NA,numeric,km2,.na,NA,NA,"Estimated extent of occurrence: area contained within the shortest continuous imaginary boundary which can be drawn to encompass all the known, inferred or projected sites of present occurrence of a taxon, excluding cases of vagrancy",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
GeographicRange,NA,NA,NA,numeric,km2,.na,NA,NA,Spatial area where a species is found,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
UpperElevationLimit,NA,NA,NA,numeric,m,.na,NA,NA,Upper elevation limit,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
IslandEndemic,NA,NA,NA,categorical,.na,"yes, no",.na,.na,"Endemic to an island: yes, no",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
AltitudinalMigration,NA,NA,NA,categorical,.na,"yes, no, possible",.na,.na,"Altitudinal migration: yes, no, possible",NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
BodyMass,NA,NA,NA,numeric,g,.na,NA,NA,Body mass,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
ThirdDigitLength,NA,NA,NA,numeric,mm,.na,NA,NA,Third digit length,NA,https://doi.org/10.1038/s41597-023-02157-4,Froidevaux_2023
